predicate_id	predicate_kind	argument	architecture	target_triple	result	source_locations	linux_commit	config_sha256	toolchain_sha256	compiler_requested_path	compiler_resolved_path	compiler_sha256	compiler_version	original_command_source	original_command_sha256	probe_path	probe_sha256	probe_command_path	probe_command_sha256	stdout_path	stdout_sha256	stderr_path	stderr_sha256	exit_status	started_at	completed_at	status
CP414bb440c5ff1f6f4d881220	__has_attribute	__copy__	aarch64	aarch64-linux-gnu	0	vendor/linux/include/linux/compiler_attributes.h:91:5	425f94c2954b1fe80ebdbf9b29854e89750355df	b374fc24835033cb3e317e45c89dd2ba3335ebac7ab81b2ac548fac5bffc1578	cfb4e6fbb9b5281b15f0e09cb6d4f7f1866bf9bc1c69ae72715992b76c9bd670	/usr/lib/llvm-19/bin/clang	/usr/lib/llvm-19/bin/clang	0a3c55936ac43954fbe4914e6e73b577ca9e35e75d89ef13d3e28c187f41ca1a	Debian clang version 19.1.7 (3+b1)	rewrite/kbuild/aarch64/arch/arm/xen/.enlighten.o.cmd	3c173da06bd76381e4788882bbb38508489c50516edb2119a835465c2a7f0635	rewrite/compiler-predicates/probes/CP414bb440c5ff1f6f4d881220.c	81feee733ca915026ef90b7c223fa0a667b42ff45656525f8b67b4a2cdc2e978	rewrite/compiler-predicates/commands/CP414bb440c5ff1f6f4d881220.json	9a1f7e809a62fa2df4d6aa8c27049570fe940e84e58358f7940cdeca7541d709	rewrite/compiler-predicates/stdout/CP414bb440c5ff1f6f4d881220.txt	c77a60275c10f3a721e31bd8187de45b42d35b4fe5b61aa6c2c625f4fc515bab	rewrite/compiler-predicates/stderr/CP414bb440c5ff1f6f4d881220.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	2026-08-05T16:43:47.071Z	2026-08-05T16:43:47.103Z	PROVEN
CP48a5f81c5f72aeb0eaf2fd3f	__has_attribute	__copy__	x86_64	x86_64-linux-gnu	0	vendor/linux/include/linux/compiler_attributes.h:91:5	425f94c2954b1fe80ebdbf9b29854e89750355df	a1cdb40573726de54a174da53c2eac8811dd84ab0145532784a47ec1c5efa6b4	cfb4e6fbb9b5281b15f0e09cb6d4f7f1866bf9bc1c69ae72715992b76c9bd670	/usr/lib/llvm-19/bin/clang	/usr/lib/llvm-19/bin/clang	0a3c55936ac43954fbe4914e6e73b577ca9e35e75d89ef13d3e28c187f41ca1a	Debian clang version 19.1.7 (3+b1)	rewrite/kbuild/x86_64/arch/x86/entry/.common.o.cmd	56d5fdff7f5ba563dfe430b948edc510a46b2b7bbb579b297f0058ed3f36f0a0	rewrite/compiler-predicates/probes/CP48a5f81c5f72aeb0eaf2fd3f.c	4afb3dec4d038d8ae8f4f73ad665a639dab14566364a0647bfe2f146c7086918	rewrite/compiler-predicates/commands/CP48a5f81c5f72aeb0eaf2fd3f.json	576e8a6625a060ef7bc615196312d4214c9c6a92ce90d5d98f34dcd35566c507	rewrite/compiler-predicates/stdout/CP48a5f81c5f72aeb0eaf2fd3f.txt	a040fd98dd1e8a4a66f1716eaaeaed1bdbcf9e3b87e3eeda3b109fe120c3600d	rewrite/compiler-predicates/stderr/CP48a5f81c5f72aeb0eaf2fd3f.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	2026-08-05T16:43:47.114Z	2026-08-05T16:43:47.133Z	PROVEN
CP943d79ed983af38194acd043	__has_attribute	__designated_init__	aarch64	aarch64-linux-gnu	0	vendor/linux/include/linux/compiler_attributes.h:126:5	425f94c2954b1fe80ebdbf9b29854e89750355df	b374fc24835033cb3e317e45c89dd2ba3335ebac7ab81b2ac548fac5bffc1578	cfb4e6fbb9b5281b15f0e09cb6d4f7f1866bf9bc1c69ae72715992b76c9bd670	/usr/lib/llvm-19/bin/clang	/usr/lib/llvm-19/bin/clang	0a3c55936ac43954fbe4914e6e73b577ca9e35e75d89ef13d3e28c187f41ca1a	Debian clang version 19.1.7 (3+b1)	rewrite/kbuild/aarch64/arch/arm/xen/.enlighten.o.cmd	3c173da06bd76381e4788882bbb38508489c50516edb2119a835465c2a7f0635	rewrite/compiler-predicates/probes/CP943d79ed983af38194acd043.c	608ca8bf2356cc0000301504b337f1626debf88b06a6a0ca3ce0df5949cc0ef4	rewrite/compiler-predicates/commands/CP943d79ed983af38194acd043.json	2f25e3a6f9f2589a95b243c00d20c24d8d5292c4c6bbfc5fac91563c20c8e2b3	rewrite/compiler-predicates/stdout/CP943d79ed983af38194acd043.txt	3dda2e1f299c8474cc188a344f89d7cfede1cd158f32d12540d987e7af594829	rewrite/compiler-predicates/stderr/CP943d79ed983af38194acd043.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	2026-08-05T16:43:47.144Z	2026-08-05T16:43:47.164Z	PROVEN
CPe0a4432953db4465495f29c2	__has_attribute	__designated_init__	x86_64	x86_64-linux-gnu	0	vendor/linux/include/linux/compiler_attributes.h:126:5	425f94c2954b1fe80ebdbf9b29854e89750355df	a1cdb40573726de54a174da53c2eac8811dd84ab0145532784a47ec1c5efa6b4	cfb4e6fbb9b5281b15f0e09cb6d4f7f1866bf9bc1c69ae72715992b76c9bd670	/usr/lib/llvm-19/bin/clang	/usr/lib/llvm-19/bin/clang	0a3c55936ac43954fbe4914e6e73b577ca9e35e75d89ef13d3e28c187f41ca1a	Debian clang version 19.1.7 (3+b1)	rewrite/kbuild/x86_64/arch/x86/entry/.common.o.cmd	56d5fdff7f5ba563dfe430b948edc510a46b2b7bbb579b297f0058ed3f36f0a0	rewrite/compiler-predicates/probes/CPe0a4432953db4465495f29c2.c	ef64ae03477703eee342c70c818b29a2f915139dcb439eb9d44f5dd3d139c8d9	rewrite/compiler-predicates/commands/CPe0a4432953db4465495f29c2.json	47acb38d6bc263ad0bc470929cf8a878ad003f1958bf8b5796b59c080b3a2deb	rewrite/compiler-predicates/stdout/CPe0a4432953db4465495f29c2.txt	4813cbed1677dbb3bc370d1acfd2e3d62bede7b53c8de064e8ec953a8db6298d	rewrite/compiler-predicates/stderr/CPe0a4432953db4465495f29c2.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	2026-08-05T16:43:47.172Z	2026-08-05T16:43:47.187Z	PROVEN
CP8f67d62d61a9b7e27ff03cd1	__has_attribute	__diagnose_as_builtin__	aarch64	aarch64-linux-gnu	1	vendor/linux/include/linux/compiler_attributes.h:103:5	425f94c2954b1fe80ebdbf9b29854e89750355df	b374fc24835033cb3e317e45c89dd2ba3335ebac7ab81b2ac548fac5bffc1578	cfb4e6fbb9b5281b15f0e09cb6d4f7f1866bf9bc1c69ae72715992b76c9bd670	/usr/lib/llvm-19/bin/clang	/usr/lib/llvm-19/bin/clang	0a3c55936ac43954fbe4914e6e73b577ca9e35e75d89ef13d3e28c187f41ca1a	Debian clang version 19.1.7 (3+b1)	rewrite/kbuild/aarch64/arch/arm/xen/.enlighten.o.cmd	3c173da06bd76381e4788882bbb38508489c50516edb2119a835465c2a7f0635	rewrite/compiler-predicates/probes/CP8f67d62d61a9b7e27ff03cd1.c	f8bb1061c3254d775314ceb9fae504676f30ca934ebd6c003050013592be6f8d	rewrite/compiler-predicates/commands/CP8f67d62d61a9b7e27ff03cd1.json	43d64836d8812c17ac76c7dbbc0315a0124b3a3541ac0ee1704f82858213e7e6	rewrite/compiler-predicates/stdout/CP8f67d62d61a9b7e27ff03cd1.txt	c93fdc132ef35c1532ba1ddb49e5aea9df0415c14714918b696333b95b2acd3d	rewrite/compiler-predicates/stderr/CP8f67d62d61a9b7e27ff03cd1.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	2026-08-05T16:43:47.198Z	2026-08-05T16:43:47.216Z	PROVEN
CPca8bc98a9b08254dedadde22	__has_attribute	__diagnose_as_builtin__	x86_64	x86_64-linux-gnu	1	vendor/linux/include/linux/compiler_attributes.h:103:5	425f94c2954b1fe80ebdbf9b29854e89750355df	a1cdb40573726de54a174da53c2eac8811dd84ab0145532784a47ec1c5efa6b4	cfb4e6fbb9b5281b15f0e09cb6d4f7f1866bf9bc1c69ae72715992b76c9bd670	/usr/lib/llvm-19/bin/clang	/usr/lib/llvm-19/bin/clang	0a3c55936ac43954fbe4914e6e73b577ca9e35e75d89ef13d3e28c187f41ca1a	Debian clang version 19.1.7 (3+b1)	rewrite/kbuild/x86_64/arch/x86/entry/.common.o.cmd	56d5fdff7f5ba563dfe430b948edc510a46b2b7bbb579b297f0058ed3f36f0a0	rewrite/compiler-predicates/probes/CPca8bc98a9b08254dedadde22.c	2fb1fcc9dfc60a4b5719005fde22280c2112f34814d0dd0c73871a148a60e1dc	rewrite/compiler-predicates/commands/CPca8bc98a9b08254dedadde22.json	b39e6a1965911b13655ae4167a252304e310c11d384670ec508d47f4b2e891f0	rewrite/compiler-predicates/stdout/CPca8bc98a9b08254dedadde22.txt	0cf7c671b6c3478863bb0a6e788c983f309b3d7c50f225e81390d333ee51720f	rewrite/compiler-predicates/stderr/CPca8bc98a9b08254dedadde22.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	2026-08-05T16:43:47.226Z	2026-08-05T16:43:47.244Z	PROVEN
CP294a4877e906e96d5008363b	__has_attribute	__error__	aarch64	aarch64-linux-gnu	1	vendor/linux/include/linux/compiler_attributes.h:137:5	425f94c2954b1fe80ebdbf9b29854e89750355df	b374fc24835033cb3e317e45c89dd2ba3335ebac7ab81b2ac548fac5bffc1578	cfb4e6fbb9b5281b15f0e09cb6d4f7f1866bf9bc1c69ae72715992b76c9bd670	/usr/lib/llvm-19/bin/clang	/usr/lib/llvm-19/bin/clang	0a3c55936ac43954fbe4914e6e73b577ca9e35e75d89ef13d3e28c187f41ca1a	Debian clang version 19.1.7 (3+b1)	rewrite/kbuild/aarch64/arch/arm/xen/.enlighten.o.cmd	3c173da06bd76381e4788882bbb38508489c50516edb2119a835465c2a7f0635	rewrite/compiler-predicates/probes/CP294a4877e906e96d5008363b.c	8886c890a0cd04de59e7ac1d30ef8fade9c7d977209d4b5d57b192d6e2cde5cd	rewrite/compiler-predicates/commands/CP294a4877e906e96d5008363b.json	eec036b8030be3775e3db02319128d8f549171cdbb9c2097c4dc51727dc9575f	rewrite/compiler-predicates/stdout/CP294a4877e906e96d5008363b.txt	d89c83f6d6aa664f24e150d9c5c53d70d67cf25629361a7c83492192f7f7ee91	rewrite/compiler-predicates/stderr/CP294a4877e906e96d5008363b.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	2026-08-05T16:43:47.255Z	2026-08-05T16:43:47.281Z	PROVEN
CP10bcea60c8e2cd2a73c610d2	__has_attribute	__error__	x86_64	x86_64-linux-gnu	1	vendor/linux/include/linux/compiler_attributes.h:137:5	425f94c2954b1fe80ebdbf9b29854e89750355df	a1cdb40573726de54a174da53c2eac8811dd84ab0145532784a47ec1c5efa6b4	cfb4e6fbb9b5281b15f0e09cb6d4f7f1866bf9bc1c69ae72715992b76c9bd670	/usr/lib/llvm-19/bin/clang	/usr/lib/llvm-19/bin/clang	0a3c55936ac43954fbe4914e6e73b577ca9e35e75d89ef13d3e28c187f41ca1a	Debian clang version 19.1.7 (3+b1)	rewrite/kbuild/x86_64/arch/x86/entry/.common.o.cmd	56d5fdff7f5ba563dfe430b948edc510a46b2b7bbb579b297f0058ed3f36f0a0	rewrite/compiler-predicates/probes/CP10bcea60c8e2cd2a73c610d2.c	2c8384c0da60cda54651aa244faa7db0154559ba0a199fd5ae71e18cab6c6eb6	rewrite/compiler-predicates/commands/CP10bcea60c8e2cd2a73c610d2.json	30e8cc29b921ad1f584b0ee6d70d5781b5b08730aea9e9b073223824875bf848	rewrite/compiler-predicates/stdout/CP10bcea60c8e2cd2a73c610d2.txt	5625ad4a8e2ad1376bbd11812427286d61e7c84d8f46e726dae6f05464b73be7	rewrite/compiler-predicates/stderr/CP10bcea60c8e2cd2a73c610d2.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	2026-08-05T16:43:47.291Z	2026-08-05T16:43:47.307Z	PROVEN
CPaf44db828843ceb9110fecfd	__has_attribute	__externally_visible__	aarch64	aarch64-linux-gnu	0	vendor/linux/include/linux/compiler_attributes.h:148:5	425f94c2954b1fe80ebdbf9b29854e89750355df	b374fc24835033cb3e317e45c89dd2ba3335ebac7ab81b2ac548fac5bffc1578	cfb4e6fbb9b5281b15f0e09cb6d4f7f1866bf9bc1c69ae72715992b76c9bd670	/usr/lib/llvm-19/bin/clang	/usr/lib/llvm-19/bin/clang	0a3c55936ac43954fbe4914e6e73b577ca9e35e75d89ef13d3e28c187f41ca1a	Debian clang version 19.1.7 (3+b1)	rewrite/kbuild/aarch64/arch/arm/xen/.enlighten.o.cmd	3c173da06bd76381e4788882bbb38508489c50516edb2119a835465c2a7f0635	rewrite/compiler-predicates/probes/CPaf44db828843ceb9110fecfd.c	f8b1dcf7fe8946239cd84eb968dc1d247ff79b99fa88a41fc1b25cae00a37d07	rewrite/compiler-predicates/commands/CPaf44db828843ceb9110fecfd.json	2b4d322422fb57456314d5941ab8f87e0f71d7af36167221070a8129794e39c3	rewrite/compiler-predicates/stdout/CPaf44db828843ceb9110fecfd.txt	f0909418043de7826ae120f984c7e4e7e220fab2e05b6f73aaeecbcaa78390e0	rewrite/compiler-predicates/stderr/CPaf44db828843ceb9110fecfd.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	2026-08-05T16:43:47.317Z	2026-08-05T16:43:47.336Z	PROVEN
CP1f2e4de3242394e9da863350	__has_attribute	__externally_visible__	x86_64	x86_64-linux-gnu	0	vendor/linux/include/linux/compiler_attributes.h:148:5	425f94c2954b1fe80ebdbf9b29854e89750355df	a1cdb40573726de54a174da53c2eac8811dd84ab0145532784a47ec1c5efa6b4	cfb4e6fbb9b5281b15f0e09cb6d4f7f1866bf9bc1c69ae72715992b76c9bd670	/usr/lib/llvm-19/bin/clang	/usr/lib/llvm-19/bin/clang	0a3c55936ac43954fbe4914e6e73b577ca9e35e75d89ef13d3e28c187f41ca1a	Debian clang version 19.1.7 (3+b1)	rewrite/kbuild/x86_64/arch/x86/entry/.common.o.cmd	56d5fdff7f5ba563dfe430b948edc510a46b2b7bbb579b297f0058ed3f36f0a0	rewrite/compiler-predicates/probes/CP1f2e4de3242394e9da863350.c	c56e8ec3026eddcec17643ef0da6c34f78b297d49e97f6aca98a149e755424ed	rewrite/compiler-predicates/commands/CP1f2e4de3242394e9da863350.json	0e8c40b8c28468ebd1a8485a3892da436a61d1c285fb69bfd5e365892c5f36d2	rewrite/compiler-predicates/stdout/CP1f2e4de3242394e9da863350.txt	029bccf75c7e6a8c0f391d7fb3bbac5fa1a904d70cd3cec6579a671fffe3af0c	rewrite/compiler-predicates/stderr/CP1f2e4de3242394e9da863350.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	2026-08-05T16:43:47.346Z	2026-08-05T16:43:47.364Z	PROVEN
