schema_version	record_key	task_id	attempt	pipeline_id	manifest	base_row	field	architecture	linux_path	record_kind	symbol_name	source_line	old_value	final_value	decision_status	source_citations	linux_sha	candidate_sha256	implementation_sha256	phase0_identity_sha256	queue_fingerprint	base_manifest_sha256
semantic-proposal-v1	SC1-b14cfd1776b41bcd5406258a42219ad588bb39f8ff89a35fc3fc43f9d8a99d5a	S016005	1	P02	SCOPE.tsv	16006	semantic_status	common	include/uapi/asm-generic/hugetlb_encode.h	scope	S016005	0	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;rewrite/metadata/header_closure.tsv	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	b83349e6731e17e5da5e04a0ea053487e8ac8d9269538dbdb367d83f77b17e0a
semantic-proposal-v1	SC1-f7d16daa80921df0e034b2c0e15bc4e7e4e5c3cc2a2697b95d04bef442c08e62	S016005	1	P02	SYMBOLS.tsv	347407	status	aarch64	include/uapi/asm-generic/hugetlb_encode.h	conditional	ifndef@1	1	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:1;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-963a3cff7c627a6413f811e6df9eb0b6736713e511b08025ec3511d96e89ea93	S016005	1	P02	SYMBOLS.tsv	347408	status	aarch64	include/uapi/asm-generic/hugetlb_encode.h	conditional	endif@37	37	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:37;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-39f40ff5679a1cbe4aaa216143d7e37ead7c1c45e0c8443c0d80e9a6328be7a0	S016005	1	P02	SYMBOLS.tsv	347409	selection_expression	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	_ASM_GENERIC_HUGETLB_ENCODE_H_	2	PENDING_REVIEW	SOURCE_REVIEWED_VALUE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:2;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-5cf67f7aaf61c7e8534fb1218dc9cf4b4f4b272116016bd8dcd45bc88ab45ead	S016005	1	P02	SYMBOLS.tsv	347409	status	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	_ASM_GENERIC_HUGETLB_ENCODE_H_	2	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:2;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-867285183ce28b0639350f4f43502a7b5ba52a4c9895699e710752a5f9ef9a71	S016005	1	P02	SYMBOLS.tsv	347410	selection_expression	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_SHIFT	20	PENDING_REVIEW	SOURCE_REVIEWED_VALUE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:20;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-dfc4eb8de33894568fa8f5fa61de1074b5411e08836552442eb8ea238a780381	S016005	1	P02	SYMBOLS.tsv	347410	status	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_SHIFT	20	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:20;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-9f0e9f7272a2a9f335c53e6bdb88298aaf372b1430e6c1e019149d9f6aaaf117	S016005	1	P02	SYMBOLS.tsv	347411	selection_expression	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_MASK	21	PENDING_REVIEW	SOURCE_REVIEWED_VALUE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:21;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-35f62c4ce0abb97aea8fd5e8fa3f950d1ab48bb1d6ed027b4170db6e9f84d91a	S016005	1	P02	SYMBOLS.tsv	347411	status	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_MASK	21	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:21;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-3f58a5a229594d9c1685af14d0fac69043bd2d832f4862dd44a2549212b43fa7	S016005	1	P02	SYMBOLS.tsv	347412	selection_expression	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_16KB	23	PENDING_REVIEW	SOURCE_REVIEWED_VALUE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:23;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
