schema_version	record_key	task_id	attempt	pipeline_id	manifest	base_row	field	architecture	linux_path	record_kind	symbol_name	source_line	old_value	final_value	decision_status	source_citations	linux_sha	candidate_sha256	implementation_sha256	phase0_identity_sha256	queue_fingerprint	base_manifest_sha256
semantic-proposal-v1	SC1-da57082966bf194f0bc491eb57e798e85e58a9c79ea3b497f81d25fecc5a694c	S016105	1	P01	SCOPE.tsv	16106	semantic_status	common	include/uapi/linux/dpll.h	scope	S016105	0	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/linux/dpll.h;rewrite/metadata/header_closure.tsv	425f94c2954b1fe80ebdbf9b29854e89750355df	6b2ac3a3cf238a428f7bca57628a97c548f4b3fd2c37d3ed808e78a850e099fc	7f2def9f29005408e653f6c0fd355d229fb21ef82d005cff3e697cbc1bfa32c4	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	b83349e6731e17e5da5e04a0ea053487e8ac8d9269538dbdb367d83f77b17e0a
semantic-proposal-v1	SC1-e7ad7d93bd4b490601cafee0db1192c88a7153bfc6ad4b9d3a25248eadfa9801	S016105	1	P01	SYMBOLS.tsv	358688	status	aarch64	include/uapi/linux/dpll.h	conditional	ifndef@7	7	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/linux/dpll.h;vendor/linux/include/uapi/linux/dpll.h:7;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	6b2ac3a3cf238a428f7bca57628a97c548f4b3fd2c37d3ed808e78a850e099fc	7f2def9f29005408e653f6c0fd355d229fb21ef82d005cff3e697cbc1bfa32c4	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-5b85fd2abe6b0fbda79c28a1411849fb7abcb8b4adb01c92b79fc41c23b1b95d	S016105	1	P01	SYMBOLS.tsv	358689	status	aarch64	include/uapi/linux/dpll.h	conditional	endif@310	310	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/linux/dpll.h;vendor/linux/include/uapi/linux/dpll.h:310;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	6b2ac3a3cf238a428f7bca57628a97c548f4b3fd2c37d3ed808e78a850e099fc	7f2def9f29005408e653f6c0fd355d229fb21ef82d005cff3e697cbc1bfa32c4	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-e9d27ac340951e97825ac7d3a529eaa71df7af21211693e09c7c80714f350f1e	S016105	1	P01	SYMBOLS.tsv	358690	selection_expression	aarch64	include/uapi/linux/dpll.h	operative_macro	_UAPI_LINUX_DPLL_H	8	PENDING_REVIEW	SOURCE_REVIEWED_VALUE	COMPLETE	vendor/linux/include/uapi/linux/dpll.h;vendor/linux/include/uapi/linux/dpll.h:8;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	6b2ac3a3cf238a428f7bca57628a97c548f4b3fd2c37d3ed808e78a850e099fc	7f2def9f29005408e653f6c0fd355d229fb21ef82d005cff3e697cbc1bfa32c4	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-ae45b88baba76632c42b2c6825e74042083bfb8c64cd13089a8d75c7622c0cd1	S016105	1	P01	SYMBOLS.tsv	358690	status	aarch64	include/uapi/linux/dpll.h	operative_macro	_UAPI_LINUX_DPLL_H	8	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/linux/dpll.h;vendor/linux/include/uapi/linux/dpll.h:8;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	6b2ac3a3cf238a428f7bca57628a97c548f4b3fd2c37d3ed808e78a850e099fc	7f2def9f29005408e653f6c0fd355d229fb21ef82d005cff3e697cbc1bfa32c4	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-66090af378c37d7b2266bfc41efda534f2f966d81c089325c86dcec53b462193	S016105	1	P01	SYMBOLS.tsv	358691	selection_expression	aarch64	include/uapi/linux/dpll.h	operative_macro	DPLL_FAMILY_NAME	10	PENDING_REVIEW	SOURCE_REVIEWED_VALUE	COMPLETE	vendor/linux/include/uapi/linux/dpll.h;vendor/linux/include/uapi/linux/dpll.h:10;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	6b2ac3a3cf238a428f7bca57628a97c548f4b3fd2c37d3ed808e78a850e099fc	7f2def9f29005408e653f6c0fd355d229fb21ef82d005cff3e697cbc1bfa32c4	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-7e494d9d6b6f4816a9018839b837051eb393ea64812832f95b7ab713c620d69d	S016105	1	P01	SYMBOLS.tsv	358691	status	aarch64	include/uapi/linux/dpll.h	operative_macro	DPLL_FAMILY_NAME	10	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/linux/dpll.h;vendor/linux/include/uapi/linux/dpll.h:10;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	6b2ac3a3cf238a428f7bca57628a97c548f4b3fd2c37d3ed808e78a850e099fc	7f2def9f29005408e653f6c0fd355d229fb21ef82d005cff3e697cbc1bfa32c4	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-945642dad7a3bf1474a7d155dce001658315cfc74394fde87d4678bd237d6f9e	S016105	1	P01	SYMBOLS.tsv	358692	selection_expression	aarch64	include/uapi/linux/dpll.h	operative_macro	DPLL_FAMILY_VERSION	11	PENDING_REVIEW	SOURCE_REVIEWED_VALUE	COMPLETE	vendor/linux/include/uapi/linux/dpll.h;vendor/linux/include/uapi/linux/dpll.h:11;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	6b2ac3a3cf238a428f7bca57628a97c548f4b3fd2c37d3ed808e78a850e099fc	7f2def9f29005408e653f6c0fd355d229fb21ef82d005cff3e697cbc1bfa32c4	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-c044299cfdee8a77f34ddfc946e593809c7af5ee63652adda5dee6e32c42eafe	S016105	1	P01	SYMBOLS.tsv	358692	status	aarch64	include/uapi/linux/dpll.h	operative_macro	DPLL_FAMILY_VERSION	11	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/linux/dpll.h;vendor/linux/include/uapi/linux/dpll.h:11;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	6b2ac3a3cf238a428f7bca57628a97c548f4b3fd2c37d3ed808e78a850e099fc	7f2def9f29005408e653f6c0fd355d229fb21ef82d005cff3e697cbc1bfa32c4	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-864dcbcd32892ae6b7b4dbb10609d0e3b7acc701e31ec23975f0bc8edfa760d8	S016105	1	P01	SYMBOLS.tsv	358693	selection_expression	aarch64	include/uapi/linux/dpll.h	operative_macro	DPLL_TEMP_DIVIDER	106	PENDING_REVIEW	SOURCE_REVIEWED_VALUE	COMPLETE	vendor/linux/include/uapi/linux/dpll.h;vendor/linux/include/uapi/linux/dpll.h:106;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	6b2ac3a3cf238a428f7bca57628a97c548f4b3fd2c37d3ed808e78a850e099fc	7f2def9f29005408e653f6c0fd355d229fb21ef82d005cff3e697cbc1bfa32c4	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
