linux_symbol	kind	linux_source	rust_symbol	rust_path	rust_visibility	rust_parity	status	notes
ClearPageAnonExclusive	inline	vendor/linux/include/linux/page-flags.h	ClearPageAnonExclusive	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
ClearPageCompound	inline	vendor/linux/include/linux/page-flags.h	ClearPageCompound	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
HUGETLBFS_I	inline	vendor/linux/include/linux/hugetlb.h	HUGETLBFS_I	src/mm/huge.rs	pub	complete	complete	exact name exists in a complete parity file
HUGETLBFS_SB	inline	vendor/linux/include/linux/hugetlb.h	HUGETLBFS_SB	src/mm/huge.rs	pub	complete	complete	exact name exists in a complete parity file
NODE_DATA	inline	vendor/linux/include/linux/mmzone.h	NODE_DATA	src/mm/zone.rs	pub	complete	complete	exact name exists in a complete parity file
PageAnon	inline	vendor/linux/include/linux/page-flags.h	PageAnon	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
PageAnonExclusive	inline	vendor/linux/include/linux/page-flags.h	PageAnonExclusive	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
PageAnonNotKsm	inline	vendor/linux/include/linux/page-flags.h	PageAnonNotKsm	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
PageCompound	inline	vendor/linux/include/linux/page-flags.h	PageCompound	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
PageHead	inline	vendor/linux/include/linux/page-flags.h	PageHead	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
PageHuge	inline	vendor/linux/include/linux/page-flags.h	PageHuge	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
PagePoisoned	inline	vendor/linux/include/linux/page-flags.h	PagePoisoned	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
PageTail	inline	vendor/linux/include/linux/page-flags.h	PageTail	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
PageTransCompound	inline	vendor/linux/include/linux/page-flags.h	PageTransCompound	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
PageUptodate	inline	vendor/linux/include/linux/page-flags.h	PageUptodate	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
SHMEM_I	inline	vendor/linux/include/linux/shmem_fs.h	SHMEM_I	src/mm/shmem.rs	pub	complete	complete	exact name exists in a complete parity file
SetPageAnonExclusive	inline	vendor/linux/include/linux/page-flags.h	SetPageAnonExclusive	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
SetPageUptodate	inline	vendor/linux/include/linux/page-flags.h	SetPageUptodate	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
__ClearPageAnonExclusive	inline	vendor/linux/include/linux/page-flags.h	__ClearPageAnonExclusive	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
__SetPageUptodate	inline	vendor/linux/include/linux/page-flags.h	__SetPageUptodate	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
__account_locked_vm	export	vendor/linux/mm/util.c	__account_locked_vm	src/mm/util.rs	pub	complete	complete	exact name exists in a complete parity file
__alloc_bootmem_huge_page	prototype	vendor/linux/include/linux/hugetlb.h	__alloc_bootmem_huge_page	src/mm/huge.rs	pub	complete	complete	exact name exists in a complete parity file
__alloc_frozen_pages_noprof	export	vendor/linux/mm/page_alloc.c	__alloc_frozen_pages_noprof	src/mm/page_alloc.rs	pub	complete	complete	exact name exists in a complete parity file
__alloc_pages_noprof	export	vendor/linux/mm/page_alloc.c	__alloc_pages_noprof	src/mm/page_alloc.rs	pub	complete	complete	exact name exists in a complete parity file
__asan_alloca_poison	export	vendor/linux/mm/kasan/generic.c	__asan_alloca_poison	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__asan_allocas_unpoison	export	vendor/linux/mm/kasan/generic.c	__asan_allocas_unpoison	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__asan_handle_no_return	export	vendor/linux/mm/kasan/generic.c	__asan_handle_no_return	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__asan_loadN	export	vendor/linux/mm/kasan/generic.c	__asan_loadN	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__asan_loadN_noabort	export	vendor/linux/mm/kasan/generic.c	__asan_loadN_noabort	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__asan_memcpy	export	vendor/linux/mm/kasan/shadow.c	__asan_memcpy	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__asan_memmove	export	vendor/linux/mm/kasan/shadow.c	__asan_memmove	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__asan_memset	export	vendor/linux/mm/kasan/shadow.c	__asan_memset	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__asan_register_globals	export	vendor/linux/mm/kasan/generic.c	__asan_register_globals	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__asan_report_load_n_noabort	export	vendor/linux/mm/kasan/report_generic.c	__asan_report_load_n_noabort	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__asan_report_store_n_noabort	export	vendor/linux/mm/kasan/report_generic.c	__asan_report_store_n_noabort	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__asan_storeN	export	vendor/linux/mm/kasan/generic.c	__asan_storeN	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__asan_storeN_noabort	export	vendor/linux/mm/kasan/generic.c	__asan_storeN_noabort	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
