linux_symbol	kind	linux_source
ClearPageAnonExclusive	inline	vendor/linux/include/linux/page-flags.h
ClearPageCompound	inline	vendor/linux/include/linux/page-flags.h
HUGETLBFS_I	inline	vendor/linux/include/linux/hugetlb.h
HUGETLBFS_SB	inline	vendor/linux/include/linux/hugetlb.h
NODE_DATA	inline	vendor/linux/include/linux/mmzone.h
PageAnon	inline	vendor/linux/include/linux/page-flags.h
PageAnonExclusive	inline	vendor/linux/include/linux/page-flags.h
PageAnonNotKsm	inline	vendor/linux/include/linux/page-flags.h
PageCompound	inline	vendor/linux/include/linux/page-flags.h
PageHead	inline	vendor/linux/include/linux/page-flags.h
PageHuge	inline	vendor/linux/include/linux/page-flags.h
PagePoisoned	inline	vendor/linux/include/linux/page-flags.h
PageTail	inline	vendor/linux/include/linux/page-flags.h
PageTransCompound	inline	vendor/linux/include/linux/page-flags.h
PageUptodate	inline	vendor/linux/include/linux/page-flags.h
SHMEM_I	inline	vendor/linux/include/linux/shmem_fs.h
SetPageAnonExclusive	inline	vendor/linux/include/linux/page-flags.h
SetPageUptodate	inline	vendor/linux/include/linux/page-flags.h
__ClearPageAnonExclusive	inline	vendor/linux/include/linux/page-flags.h
__SetPageUptodate	inline	vendor/linux/include/linux/page-flags.h
__account_locked_vm	export	vendor/linux/mm/util.c
__alloc_bootmem_huge_page	prototype	vendor/linux/include/linux/hugetlb.h
__alloc_frozen_pages_noprof	export	vendor/linux/mm/page_alloc.c
__alloc_pages_noprof	export	vendor/linux/mm/page_alloc.c
__asan_alloca_poison	export	vendor/linux/mm/kasan/generic.c
__asan_allocas_unpoison	export	vendor/linux/mm/kasan/generic.c
__asan_handle_no_return	export	vendor/linux/mm/kasan/generic.c
__asan_loadN	export	vendor/linux/mm/kasan/generic.c
__asan_loadN_noabort	export	vendor/linux/mm/kasan/generic.c
__asan_memcpy	export	vendor/linux/mm/kasan/shadow.c
__asan_memmove	export	vendor/linux/mm/kasan/shadow.c
__asan_memset	export	vendor/linux/mm/kasan/shadow.c
__asan_register_globals	export	vendor/linux/mm/kasan/generic.c
__asan_report_load_n_noabort	export	vendor/linux/mm/kasan/report_generic.c
__asan_report_store_n_noabort	export	vendor/linux/mm/kasan/report_generic.c
__asan_storeN	export	vendor/linux/mm/kasan/generic.c
__asan_storeN_noabort	export	vendor/linux/mm/kasan/generic.c
__asan_unregister_globals	export	vendor/linux/mm/kasan/generic.c
__check_object_size	export	vendor/linux/mm/usercopy.c
__clear_page_guard	prototype	vendor/linux/include/linux/mm.h
__compat_vma_mmap	export	vendor/linux/mm/util.c
__copy_overflow	export	vendor/linux/mm/maccess.c
__cpupid_match_pid	inline	vendor/linux/include/linux/mm.h
__dec_node_page_state	export	vendor/linux/mm/vmstat.c
__dec_zone_page_state	export	vendor/linux/mm/vmstat.c
__filemap_get_folio	inline	vendor/linux/include/linux/pagemap.h
__filemap_get_folio_mpol	export	vendor/linux/mm/filemap.c
__filemap_remove_folio	prototype	vendor/linux/include/linux/pagemap.h
__filemap_set_wb_err	export	vendor/linux/mm/filemap.c;vendor/linux/include/linux/pagemap.h
__folio_alloc_noprof	export	vendor/linux/mm/page_alloc.c
__folio_batch_release	export	vendor/linux/mm/swap.c
__folio_cancel_dirty	export	vendor/linux/mm/page-writeback.c;vendor/linux/include/linux/pagemap.h
__folio_clear_lru_flags	inline	vendor/linux/include/linux/mm_inline.h
__folio_dup_file_rmap	inline	vendor/linux/include/linux/rmap.h
__folio_large_mapcount_sanity_checks	inline	vendor/linux/include/linux/rmap.h
__folio_lock	export	vendor/linux/mm/filemap.c;vendor/linux/include/linux/pagemap.h
__folio_lock_killable	export	vendor/linux/mm/filemap.c;vendor/linux/include/linux/pagemap.h
__folio_lock_or_retry	prototype	vendor/linux/include/linux/pagemap.h
__folio_mark_dirty	prototype	vendor/linux/include/linux/pagemap.h
__folio_mark_uptodate	inline	vendor/linux/include/linux/page-flags.h
__folio_put	export	vendor/linux/mm/swap.c;vendor/linux/include/linux/mm.h
__folio_rmap_sanity_checks	inline	vendor/linux/include/linux/rmap.h
__folio_start_writeback	export	vendor/linux/mm/page-writeback.c;vendor/linux/include/linux/page-flags.h
__folio_throttle_swaprate	prototype	vendor/linux/include/linux/swap.h
__folio_try_dup_anon_rmap	inline	vendor/linux/include/linux/rmap.h
__folio_try_share_anon_rmap	inline	vendor/linux/include/linux/rmap.h
__free_pages	export	vendor/linux/mm/page_alloc.c
__generic_file_write_iter	export	vendor/linux/mm/filemap.c
__get_huge_page_for_hwpoison	prototype	vendor/linux/include/linux/mm.h
__get_vm_area_caller	prototype	vendor/linux/include/linux/vmalloc.h
__hugetlb_zap_begin	prototype	vendor/linux/include/linux/hugetlb.h
__hugetlb_zap_end	prototype	vendor/linux/include/linux/hugetlb.h
__hwasan_loadN_noabort	export	vendor/linux/mm/kasan/sw_tags.c
__hwasan_memcpy	export	vendor/linux/mm/kasan/shadow.c
__hwasan_memmove	export	vendor/linux/mm/kasan/shadow.c
__hwasan_memset	export	vendor/linux/mm/kasan/shadow.c
__hwasan_storeN_noabort	export	vendor/linux/mm/kasan/sw_tags.c
__hwasan_tag_memory	export	vendor/linux/mm/kasan/sw_tags.c
__inc_node_page_state	export	vendor/linux/mm/vmstat.c
__inc_zone_page_state	export	vendor/linux/mm/vmstat.c
__is_vma_write_locked	inline	vendor/linux/include/linux/mmap_lock.h
__kasan_check_read	export	vendor/linux/mm/kasan/shadow.c
__kasan_check_write	export	vendor/linux/mm/kasan/shadow.c
__kasan_kmalloc	export	vendor/linux/mm/kasan/common.c
__kernel_map_pages	prototype	vendor/linux/include/linux/mm.h
__kernel_poison_pages	prototype	vendor/linux/include/linux/mm.h
__kernel_unpoison_pages	prototype	vendor/linux/include/linux/mm.h
__kfence_pool	export	vendor/linux/mm/kfence/core.c
__kmalloc_cache_node_noprof	export	vendor/linux/mm/slub.c
__kmalloc_cache_noprof	export	vendor/linux/mm/slub.c
__kmalloc_index	prototype	vendor/linux/include/linux/slab.h
__kmalloc_large_node_noprof	export	vendor/linux/mm/slub.c
__kmalloc_large_noprof	export	vendor/linux/mm/slub.c
__kmalloc_node_noprof	export	vendor/linux/mm/slub.c
__kmalloc_node_track_caller_noprof	export	vendor/linux/mm/slub.c
__kmalloc_noprof	export	vendor/linux/mm/slub.c
__kmap_local_page_prot	export	vendor/linux/mm/highmem.c
__kmap_local_pfn_prot	export	vendor/linux/mm/highmem.c
__kmap_to_page	export	vendor/linux/mm/highmem.c
__kmem_cache_create_args	export	vendor/linux/mm/slab_common.c
__ksm_enter	prototype	vendor/linux/include/linux/ksm.h
__ksm_exit	prototype	vendor/linux/include/linux/ksm.h
__kvmalloc_node_noprof	export	vendor/linux/mm/slub.c
__list_lru_init	export	vendor/linux/mm/list_lru.c
__mem_cgroup_try_charge_swap	prototype	vendor/linux/include/linux/swap.h
__mem_cgroup_uncharge_swap	prototype	vendor/linux/include/linux/swap.h
__memcg_memory_event	export	vendor/linux/mm/memcontrol.c
__might_fault	export	vendor/linux/mm/memory.c
__mk_vma_flags	inline	vendor/linux/include/linux/mm.h
__mm_flags_get_bitmap	inline	vendor/linux/include/linux/mm_types.h
__mm_flags_get_word	inline	vendor/linux/include/linux/mm_types.h
__mm_flags_overwrite_word	inline	vendor/linux/include/linux/mm_types.h
__mm_flags_set_mask_bits_word	inline	vendor/linux/include/linux/mm_types.h
__mm_populate	prototype	vendor/linux/include/linux/mm.h
__mm_zero_struct_page	inline	vendor/linux/include/linux/mm.h
__mmap_lock_do_trace_acquire_returned	export	vendor/linux/mm/mmap_lock.c
__mmap_lock_do_trace_released	export	vendor/linux/mm/mmap_lock.c;vendor/linux/include/linux/mmap_lock.h
__mmap_lock_do_trace_start_locking	export	vendor/linux/mm/mmap_lock.c;vendor/linux/include/linux/mmap_lock.h
__mmap_lock_trace_acquire_returned	inline	vendor/linux/include/linux/mmap_lock.h
__mmap_lock_trace_released	inline	vendor/linux/include/linux/mmap_lock.h
__mmap_lock_trace_start_locking	inline	vendor/linux/include/linux/mmap_lock.h
__mmu_notifier_arch_invalidate_secondary_tlbs	prototype	vendor/linux/include/linux/mmu_notifier.h
__mmu_notifier_invalidate_range_end	prototype	vendor/linux/include/linux/mmu_notifier.h
__mmu_notifier_invalidate_range_start	prototype	vendor/linux/include/linux/mmu_notifier.h
__mmu_notifier_register	export	vendor/linux/mm/mmu_notifier.c;vendor/linux/include/linux/mmu_notifier.h
__mmu_notifier_release	prototype	vendor/linux/include/linux/mmu_notifier.h
__mmu_notifier_subscriptions_destroy	prototype	vendor/linux/include/linux/mmu_notifier.h
__mod_node_page_state	export	vendor/linux/mm/vmstat.c
__mod_zone_page_state	export	vendor/linux/mm/vmstat.c
__mpol_dup	prototype	vendor/linux/include/linux/mempolicy.h
__mpol_equal	prototype	vendor/linux/include/linux/mempolicy.h
__mpol_put	export	vendor/linux/mm/mempolicy.c;vendor/linux/include/linux/mempolicy.h
__msan_chain_origin	export	vendor/linux/mm/kmsan/instrumentation.c
__msan_get_context_state	export	vendor/linux/mm/kmsan/instrumentation.c
__msan_instrument_asm_store	export	vendor/linux/mm/kmsan/instrumentation.c
